distribution,ambient_dimension,delta,epsilon_factor,susceptibility,Kc_numeric,Kc_theory,collapse,manifold_dimension
lorentzian,2,0.03,0.001,16.650016650016653,0.06005999999999999,0.06,1.001,1
lorentzian,2,0.032344689378757514,0.001,15.443045182822134,0.06475406813627255,0.06468937875751503,1.0010000000000001,1
lorentzian,2,0.03468937875751503,0.001,14.399234503220638,0.06944813627254509,0.06937875751503006,1.0010000000000001,1
lorentzian,2,0.037034068136272545,0.001,13.487594656425825,0.07414220440881764,0.07406813627254509,1.0010000000000001,1
lorentzian,2,0.03937875751503006,0.001,12.684516501310394,0.07883627254509018,0.07875751503006012,1.001,1
lorentzian,2,0.041723446893787576,0.001,11.971697850660387,0.08353034068136272,0.08344689378757515,1.001,1
lorentzian,2,0.04406813627254509,0.001,11.334731662153217,0.08822440881763527,0.08813627254509018,1.001,1
lorentzian,2,0.0464128256513026,0.001,10.762122161085893,0.0929184769539078,0.0928256513026052,1.001,1
lorentzian,2,0.04875751503006012,0.001,10.244584843845017,0.09761254509018036,0.09751503006012024,1.001,1
lorentzian,2,0.05110220440881763,0.001,9.774539186303892,0.1023066132264529,0.10220440881763526,1.0010000000000001,1
lorentzian,2,0.05344689378757515,0.001,9.345734880043091,0.10700068136272546,0.10689378757515029,1.0010000000000001,1
lorentzian,2,0.05579158316633266,0.001,8.952972315041281,0.11169474949899799,0.11158316633266534,1.001,1
lorentzian,2,0.05813627254509018,0.001,8.591890701508076,0.11638881763527052,0.11627254509018034,1.0010000000000001,1
lorentzian,2,0.06048096192384769,0.001,8.258805475505277,0.12108288577154308,0.1209619238476954,1.001,1
lorentzian,2,0.0628256513026052,0.001,7.9505821132615395,0.12577695390781563,0.1256513026052104,1.0010000000000001,1
lorentzian,2,0.06517034068136272,0.001,7.664537184832388,0.13047102204408817,0.13034068136272545,1.001,1
lorentzian,2,0.06751503006012025,0.001,7.398360025252277,0.13516509018036074,0.1350300601202405,1.0010000000000001,1
lorentzian,2,0.06985971943887775,0.001,7.150050179310076,0.13985915831663326,0.1397194388777555,1.001,1
lorentzian,2,0.07220440881763526,0.001,6.9178670344365605,0.1445532264529058,0.14440881763527053,1.0010000000000001,1
lorentzian,2,0.07454909819639279,0.001,6.700288958353475,0.14924729458917835,0.1490981963927856,1.0009999999999997,1
lorentzian,2,0.07689378757515031,0.001,6.495979912711734,0.15394136272545092,0.15378757515030061,1.0010000000000001,1
lorentzian,2,0.07923847695390782,0.001,6.3037619942020555,0.15863543086172344,0.15847695390781563,1.001,1
lorentzian,2,0.08158316633266532,0.001,6.1225927106546125,0.16332949899799598,0.16316633266533065,1.0010000000000001,1
lorentzian,2,0.08392785571142285,0.001,5.951546066159247,0.16802356713426853,0.1678557114228457,1.001,1
lorentzian,2,0.08627254509018036,0.001,5.789796730563282,0.17271763527054107,0.1725450901803607,1.001,1
lorentzian,2,0.08861723446893788,0.001,5.636606722088404,0.17741170340681364,0.17723446893787576,1.0010000000000001,1
lorentzian,2,0.09096192384769539,0.001,5.491314149608929,0.18210577154308616,0.18192384769539077,1.001,1
lorentzian,2,0.09330661322645291,0.001,5.353323652292724,0.18679983967935873,0.18661322645290584,1.001,1
lorentzian,2,0.09565130260521042,0.001,5.22209824535406,0.19149390781563125,0.19130260521042083,1.001,1
lorentzian,2,0.09799599198396794,0.001,5.09715233641614,0.19618797595190382,0.1959919839679359,1.001,1
lorentzian,2,0.10034068136272545,0.001,4.978045721005578,0.20088204408817634,0.2006813627254509,1.001,1
lorentzian,2,0.10268537074148297,0.001,4.8643784006781665,0.2055761122244489,0.2053707414829659,1.0010000000000001,1
lorentzian,2,0.10503006012024048,0.001,4.755786095225134,0.21027018036072143,0.21006012024048096,1.001,1
lorentzian,2,0.10737474949899799,0.001,4.6519363428657945,0.21496424849699397,0.214749498997996,1.001,1
lorentzian,2,0.10971943887775551,0.001,4.552525100470306,0.21965831663326654,0.21943887775551102,1.0010000000000001,1
lorentzian,2,0.11206412825651302,0.001,4.457273770578492,0.22435238476953903,0.22412825651302604,1.001,1
lorentzian,2,0.11440881763527054,0.001,4.36592659398755,0.22904645290581166,0.22881763527054108,1.0010000000000001,1
lorentzian,2,0.11675350701402805,0.001,4.278248356518182,0.23374052104208415,0.23350701402805607,1.0010000000000001,1
lorentzian,2,0.11909819639278557,0.001,4.194022366662447,0.23843458917835672,0.2381963927855711,1.0010000000000003,1
lorentzian,2,0.12144288577154308,0.001,4.113048667504113,0.24312865731462924,0.24288577154308616,1.001,1
lorentzian,2,0.1237875751503006,0.001,4.035142451849591,0.2478227254509018,0.24757515030060123,1.001,1
lorentzian,2,0.12613226452905812,0.001,3.9601326541269337,0.2525167935871744,0.25226452905811625,1.0010000000000001,1
lorentzian,2,0.12847695390781563,0.001,3.887860696470898,0.25721086172344687,0.25695390781563127,1.001,1
lorentzian,2,0.13082164328657314,0.001,3.8181793696499584,0.2619049298597194,0.2616432865731463,1.001,1
lorentzian,2,0.13316633266533068,0.001,3.7509518322159403,0.266598997995992,0.2663326653306614,1.001,1
lorentzian,2,0.13551102204408816,0.001,3.6860507135573686,0.2712930661322645,0.2710220440881763,1.0010000000000001,1
lorentzian,2,0.1378557114228457,0.001,3.6233573084859607,0.2759871342685371,0.27571142284569133,1.0010000000000003,1
lorentzian,2,0.1402004008016032,0.001,3.5627608526407846,0.2806812024048096,0.2804008016032064,1.001,1
lorentzian,2,0.1425450901803607,0.001,3.504157869404601,0.28537527054108214,0.2850901803607214,1.001,1
lorentzian,2,0.14488977955911825,0.001,3.4474515802316628,0.29006933867735474,0.2897795591182365,1.0010000000000001,1
lorentzian,2,0.14723446893787573,0.001,3.3925513713182154,0.2947634068136272,0.2944689378757514,1.0010000000000003,1
lorentzian,2,0.14957915831663327,0.001,3.339372310433404,0.29945747494989977,0.29915831663326653,1.001,1
lorentzian,2,0.15192384769539077,0.001,3.2878347084916144,0.3041515430861723,0.30384769539078155,1.001,1
lorentzian,2,0.15426853707414828,0.001,3.237863721106122,0.30884561122244486,0.30853707414829656,1.001,1
lorentzian,2,0.15661322645290582,0.001,3.1893889859340914,0.31353967935871746,0.3132264529058117,1.001,1
lorentzian,2,0.15895791583166333,0.001,3.1423442921173628,0.31823374749499,0.31791583166332665,1.0010000000000001,1
lorentzian,2,0.16130260521042084,0.001,3.096667278553227,0.3229278156312625,0.32260521042084167,1.001,1
lorentzian,2,0.16364729458917834,0.001,3.0522991581037138,0.32762188376753504,0.32729458917835674,1.001,1
lorentzian,2,0.16599198396793588,0.001,3.00918446517867,0.33231595190380764,0.33198396793587176,1.0010000000000001,1
lorentzian,2,0.1683366733466934,0.001,2.9672708244136814,0.3370100200400802,0.3366733466933868,1.0010000000000001,1
lorentzian,2,0.1706813627254509,0.001,2.926508738414339,0.34170408817635267,0.3413627254509018,1.001,1
lorentzian,2,0.1730260521042084,0.001,2.8868513927582726,0.3463981563126252,0.3460521042084168,1.001,1
lorentzian,2,0.17537074148296594,0.001,2.848254476639804,0.3510922244488978,0.35074148296593194,1.001,1
lorentzian,2,0.17771543086172345,0.001,2.8106760177125536,0.35578629258517036,0.35543086172344696,1.001,1
lorentzian,2,0.18006012024048096,0.001,2.774076229835829,0.3604803607214429,0.3601202404809619,1.0010000000000001,1
lorentzian,2,0.18240480961923847,0.001,2.738417372563714,0.3651744288577154,0.3648096192384769,1.0010000000000001,1
lorentzian,2,0.18474949899799598,0.001,2.703663621333651,0.36986849699398794,0.36949899799599195,1.001,1
lorentzian,2,0.1870941883767535,0.001,2.6697809474159087,0.37456256513026054,0.374188376753507,1.0010000000000001,1
lorentzian,2,0.18943887775551102,0.001,2.6367370067782634,0.3792566332665331,0.37887775551102204,1.0010000000000001,1
lorentzian,2,0.19178356713426853,0.001,2.604501037102918,0.3839507014028056,0.383567134268537,1.0010000000000003,1
lorentzian,2,0.19412825651302604,0.001,2.573043762266432,0.3886447695390781,0.38825651302605213,1.001,1
lorentzian,2,0.19647294589178357,0.001,2.542337303659213,0.39333883767535066,0.3929458917835671,1.0010000000000001,1
lorentzian,2,0.19881763527054108,0.001,2.5123550977799542,0.3980329058116232,0.39763527054108216,1.001,1
lorentzian,2,0.2011623246492986,0.001,2.483071819593039,0.4027269739478958,0.4023246492985972,1.0010000000000001,1
lorentzian,2,0.2035070140280561,0.001,2.4544633111841385,0.4074210420841683,0.4070140280561122,1.001,1
lorentzian,2,0.20585170340681364,0.001,2.426506515291562,0.41211511022044084,0.41170340681362727,1.001,1
lorentzian,2,0.20819639278557114,0.001,2.3991794133289948,0.4168091783567134,0.4163927855711423,1.001,1
lorentzian,2,0.21054108216432865,0.001,2.3724609675494883,0.421503246492986,0.42108216432865736,1.001,1
lorentzian,2,0.21288577154308616,0.001,2.3463310670314343,0.4261973146292585,0.4257715430861723,1.001,1
lorentzian,2,0.2152304609218437,0.001,2.320770477195058,0.4308913827655311,0.4304609218436874,1.001,1
lorentzian,2,0.2175751503006012,0.001,2.295760792583119,0.4355854509018036,0.43515030060120236,1.0010000000000001,1
lorentzian,2,0.21991983967935871,0.001,2.271284392662195,0.4402795190380761,0.43983967935871743,1.001,1
lorentzian,2,0.22226452905811622,0.001,2.2473244004215065,0.44497358717434865,0.44452905811623245,1.001,1
lorentzian,2,0.22460921843687373,0.001,2.223864643564858,0.44966765531062114,0.44921843687374746,1.001,1
lorentzian,2,0.22695390781563127,0.001,2.200889618108161,0.4543617234468938,0.4539078156312625,1.0010000000000001,1
lorentzian,2,0.22929859719438878,0.001,2.1783844542103585,0.4590557915831664,0.4585971943887775,1.0010000000000003,1
lorentzian,2,0.23164328657314628,0.001,2.1563348840794987,0.4637498597194389,0.4632865731462925,1.0010000000000001,1
lorentzian,2,0.2339879759519038,0.001,2.1347272118084044,0.4684439278557113,0.46797595190380764,1.0009999999999997,1
lorentzian,2,0.23633266533066133,0.001,2.1135482850059293,0.473137995991984,0.47266533066132266,1.001,1
lorentzian,2,0.23867735470941884,0.001,2.0927854681003297,0.47783206412825646,0.4773547094188377,1.001,1
lorentzian,2,0.24102204408817635,0.001,2.072426617200875,0.4825261322645291,0.4820440881763527,1.0010000000000001,1
lorentzian,2,0.24336673346693385,0.001,2.0524600564126256,0.4872202004008016,0.48673346693386776,1.001,1
lorentzian,2,0.2457114228456914,0.001,2.0328745555072936,0.4919142685370741,0.49142284569138284,1.0009999999999997,1
lorentzian,2,0.2480561122244489,0.001,2.0136593088604724,0.49660833667334664,0.4961122244488977,1.0010000000000001,1
lorentzian,2,0.25040080160320644,0.001,1.9948039155722226,0.5013024048096193,0.5008016032064129,1.0010000000000001,1
lorentzian,2,0.2527454909819639,0.001,1.9762983606941742,0.5059964729458918,0.5054909819639278,1.0010000000000001,1
lorentzian,2,0.2550901803607214,0.001,1.958132997491942,0.5106905410821643,0.5101803607214428,1.0010000000000001,1
lorentzian,2,0.25743486973947893,0.001,1.9402985306768585,0.5153846092184369,0.5148697394789579,1.0010000000000001,1
lorentzian,2,0.25977955911823647,0.001,1.9227860005457786,0.5200786773547094,0.519559118236473,1.0009999999999997,1
lorentzian,2,0.262124248496994,0.001,1.905586767972089,0.524772745490982,0.524248496993988,1.001,1
lorentzian,2,0.2644689378757515,0.001,1.8886925001951147,0.5294668136272545,0.528937875751503,1.001,1
lorentzian,2,0.266813627254509,0.001,1.8720951573587896,0.534160881763527,0.533627254509018,1.001,1
lorentzian,2,0.2691583166332665,0.001,1.8557869797539222,0.5388549498997995,0.538316633266533,1.001,1
lorentzian,2,0.27150300601202404,0.001,1.8397604757215031,0.5435490180360721,0.5430060120240481,1.0010000000000001,1
lorentzian,2,0.2738476953907816,0.001,1.824008410177455,0.5482430861723447,0.5476953907815632,1.0010000000000001,1
lorentzian,2,0.2761923847695391,0.001,1.8085237937218779,0.5529371543086173,0.5523847695390782,1.0010000000000001,1
