family,manifold,dimension,zero_label,index,jacobian_det,chi_theory
Sphere,$S^1$,1,north,-1,-0.99999999995,0
Sphere,$S^1$,1,south,1,0.99999999995,0
Torus,$\mathbb{T}^1$,1,0,1,0.9999999999833332,0
Torus,$\mathbb{T}^1$,1,1,-1,-0.9999999999898845,0
Sphere,$S^2$,2,north,1,0.9999999999,2
Sphere,$S^2$,2,south,1,0.9999999999,2
Torus,$\mathbb{T}^2$,2,0,1,0.9999999999666664,0
Torus,$\mathbb{T}^2$,2,1,-1,-0.9999999999732178,0
Torus,$\mathbb{T}^2$,2,2,-1,-0.9999999999732178,0
Torus,$\mathbb{T}^2$,2,3,1,0.9999999999797691,0
Sphere,$S^3$,3,north,-1,-0.99999999985,0
Sphere,$S^3$,3,south,1,0.99999999985,0
Torus,$\mathbb{T}^3$,3,0,1,0.9999999999499997,0
Torus,$\mathbb{T}^3$,3,1,-1,-0.999999999956551,0
Torus,$\mathbb{T}^3$,3,2,-1,-0.999999999956551,0
Torus,$\mathbb{T}^3$,3,3,1,0.9999999999631023,0
Torus,$\mathbb{T}^3$,3,4,-1,-0.999999999956551,0
Torus,$\mathbb{T}^3$,3,5,1,0.9999999999631023,0
Torus,$\mathbb{T}^3$,3,6,1,0.9999999999631023,0
Torus,$\mathbb{T}^3$,3,7,-1,-0.9999999999696536,0
Sphere,$S^4$,4,north,1,0.9999999998,2
Sphere,$S^4$,4,south,1,0.9999999998,2
Torus,$\mathbb{T}^4$,4,0,1,0.9999999999333329,0
Torus,$\mathbb{T}^4$,4,1,-1,-0.9999999999398842,0
Torus,$\mathbb{T}^4$,4,2,-1,-0.9999999999398842,0
Torus,$\mathbb{T}^4$,4,3,1,0.9999999999464355,0
Torus,$\mathbb{T}^4$,4,4,-1,-0.9999999999398842,0
Torus,$\mathbb{T}^4$,4,5,1,0.9999999999464355,0
Torus,$\mathbb{T}^4$,4,6,1,0.9999999999464355,0
Torus,$\mathbb{T}^4$,4,7,-1,-0.9999999999529868,0
Torus,$\mathbb{T}^4$,4,8,-1,-0.9999999999398842,0
Torus,$\mathbb{T}^4$,4,9,1,0.9999999999464355,0
Torus,$\mathbb{T}^4$,4,10,1,0.9999999999464355,0
Torus,$\mathbb{T}^4$,4,11,-1,-0.9999999999529868,0
Torus,$\mathbb{T}^4$,4,12,1,0.9999999999464355,0
Torus,$\mathbb{T}^4$,4,13,-1,-0.9999999999529868,0
Torus,$\mathbb{T}^4$,4,14,-1,-0.9999999999529868,0
Torus,$\mathbb{T}^4$,4,15,1,0.9999999999595381,0
Sphere,$S^5$,5,north,-1,-0.99999999975,0
Sphere,$S^5$,5,south,1,0.99999999975,0
Torus,$\mathbb{T}^5$,5,0,1,0.9999999999166661,0
Torus,$\mathbb{T}^5$,5,1,-1,-0.9999999999232174,0
Torus,$\mathbb{T}^5$,5,2,-1,-0.9999999999232174,0
Torus,$\mathbb{T}^5$,5,3,1,0.9999999999297687,0
Torus,$\mathbb{T}^5$,5,4,-1,-0.9999999999232174,0
Torus,$\mathbb{T}^5$,5,5,1,0.9999999999297687,0
Torus,$\mathbb{T}^5$,5,6,1,0.9999999999297687,0
Torus,$\mathbb{T}^5$,5,7,-1,-0.99999999993632,0
Torus,$\mathbb{T}^5$,5,8,-1,-0.9999999999232174,0
Torus,$\mathbb{T}^5$,5,9,1,0.9999999999297687,0
Torus,$\mathbb{T}^5$,5,10,1,0.9999999999297687,0
Torus,$\mathbb{T}^5$,5,11,-1,-0.99999999993632,0
Torus,$\mathbb{T}^5$,5,12,1,0.9999999999297687,0
Torus,$\mathbb{T}^5$,5,13,-1,-0.99999999993632,0
Torus,$\mathbb{T}^5$,5,14,-1,-0.99999999993632,0
Torus,$\mathbb{T}^5$,5,15,1,0.9999999999428714,0
Torus,$\mathbb{T}^5$,5,16,-1,-0.9999999999232174,0
Torus,$\mathbb{T}^5$,5,17,1,0.9999999999297687,0
Torus,$\mathbb{T}^5$,5,18,1,0.9999999999297687,0
Torus,$\mathbb{T}^5$,5,19,-1,-0.99999999993632,0
Torus,$\mathbb{T}^5$,5,20,1,0.9999999999297687,0
Torus,$\mathbb{T}^5$,5,21,-1,-0.99999999993632,0
Torus,$\mathbb{T}^5$,5,22,-1,-0.99999999993632,0
Torus,$\mathbb{T}^5$,5,23,1,0.9999999999428714,0
Torus,$\mathbb{T}^5$,5,24,1,0.9999999999297687,0
Torus,$\mathbb{T}^5$,5,25,-1,-0.99999999993632,0
Torus,$\mathbb{T}^5$,5,26,-1,-0.99999999993632,0
Torus,$\mathbb{T}^5$,5,27,1,0.9999999999428714,0
Torus,$\mathbb{T}^5$,5,28,-1,-0.99999999993632,0
Torus,$\mathbb{T}^5$,5,29,1,0.9999999999428714,0
Torus,$\mathbb{T}^5$,5,30,1,0.9999999999428714,0
Torus,$\mathbb{T}^5$,5,31,-1,-0.9999999999494227,0
Sphere,$S^6$,6,north,1,0.9999999997,2
Sphere,$S^6$,6,south,1,0.9999999997,2
