status,dimension,discontinuous_fraction,samples,mean_width
$\chi(M)=0$,1,0.48055555555555557,360,0.004681369119570017
$\chi(M)=0$,2,0.5388888888888889,180,0.0029576256476989186
$\chi(M)=0$,3,0.5055555555555555,360,0.0023384680661866653
$\chi(M)=0$,4,0.6,180,0.004976094407099283
$\chi(M)=0$,5,0.475,360,0.0027815429488194507
$\chi(M)=0$,6,0.5,180,0.004506224068205494
$\chi(M)=0$,7,0.5,360,0.0029588564587919313
$\chi(M)=0$,8,0.48333333333333334,180,0.004307207898248619
"$\chi(M)\ne0$, sign condition",2,1.0,180,0.24496661602074
"$\chi(M)\ne0$, sign condition",4,1.0,180,0.16088426819005042
"$\chi(M)\ne0$, sign condition",6,1.0,180,0.12370787673294602
"$\chi(M)\ne0$, sign condition",8,1.0,180,0.1004160256546172
