label,family,real_dimension,ambient_dimension,chi_theory,zero_label,index,jacobian_det
$\mathbb{CP}^2$,Complex projective space,4,8,3,0,1,4.0
$\mathbb{CP}^2$,Complex projective space,4,8,3,1,1,1.0
$\mathbb{CP}^2$,Complex projective space,4,8,3,2,1,4.0
$\mathbb{CP}^3$,Complex projective space,6,15,4,0,1,3.1604938271604937
$\mathbb{CP}^3$,Complex projective space,6,15,4,1,1,0.35116598079561046
$\mathbb{CP}^3$,Complex projective space,6,15,4,2,1,0.35116598079561046
$\mathbb{CP}^3$,Complex projective space,6,15,4,3,1,3.160493827160495
$\mathbb{CP}^4$,Complex projective space,8,24,5,0,1,2.25
$\mathbb{CP}^4$,Complex projective space,8,24,5,1,1,0.140625
$\mathbb{CP}^4$,Complex projective space,8,24,5,2,1,0.0625
$\mathbb{CP}^4$,Complex projective space,8,24,5,3,1,0.140625
$\mathbb{CP}^4$,Complex projective space,8,24,5,4,1,2.25
$\mathbb{CP}^5$,Complex projective space,10,35,6,0,1,1.5099494400000015
$\mathbb{CP}^5$,Complex projective space,10,35,6,1,1,0.060397977600000076
$\mathbb{CP}^5$,Complex projective space,10,35,6,2,1,0.015099494400000019
$\mathbb{CP}^5$,Complex projective space,10,35,6,3,1,0.015099494400000005
$\mathbb{CP}^5$,Complex projective space,10,35,6,4,1,0.06039797759999998
$\mathbb{CP}^5$,Complex projective space,10,35,6,5,1,1.5099494399999986
$\mathbb{CP}^6$,Complex projective space,12,48,7,0,1,0.9754610577655838
$\mathbb{CP}^6$,Complex projective space,12,48,7,1,1,0.02709614049348846
$\mathbb{CP}^6$,Complex projective space,12,48,7,2,1,0.004335382478958154
$\mathbb{CP}^6$,Complex projective space,12,48,7,3,1,0.00243865264441396
$\mathbb{CP}^6$,Complex projective space,12,48,7,4,1,0.00433538247895815
$\mathbb{CP}^6$,Complex projective space,12,48,7,5,1,0.027096140493488453
$\mathbb{CP}^6$,Complex projective space,12,48,7,6,1,0.9754610577655859
$\mathbb{CP}^7$,Complex projective space,14,63,8,0,1,0.6136326395558328
$\mathbb{CP}^7$,Complex projective space,14,63,8,1,1,0.012523115092976182
$\mathbb{CP}^7$,Complex projective space,14,63,8,2,1,0.0013914572325529084
$\mathbb{CP}^7$,Complex projective space,14,63,8,3,1,0.0005009246037190471
$\mathbb{CP}^7$,Complex projective space,14,63,8,4,1,0.000500924603719047
$\mathbb{CP}^7$,Complex projective space,14,63,8,5,1,0.0013914572325529084
$\mathbb{CP}^7$,Complex projective space,14,63,8,6,1,0.012523115092976194
$\mathbb{CP}^7$,Complex projective space,14,63,8,7,1,0.6136326395558342
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,8,15,6,0,1,5.618655692729767
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,8,15,6,1,1,0.35116598079561046
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,8,15,6,2,1,0.6242950769699742
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,8,15,6,3,1,0.6242950769699742
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,8,15,6,4,1,0.35116598079561046
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,8,15,6,5,1,5.618655692729767
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,12,24,10,0,1,5.0625
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,12,24,10,1,1,0.140625
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,12,24,10,2,1,0.0625
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,12,24,10,3,1,0.31640625
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,12,24,10,4,1,0.140625
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,12,24,10,5,1,0.019775390625
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,12,24,10,6,1,0.0625
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,12,24,10,7,1,0.140625
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,12,24,10,8,1,0.140625
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,12,24,10,9,1,5.0625
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,0,1,3.562417673994246
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,1,1,0.055662776156160096
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,2,1,0.010995116277760007
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,3,1,0.013915694039040003
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,4,1,0.14249670695976963
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,5,1,0.035624176739942476
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,6,1,0.002226511046246402
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,7,1,0.0017592186044416008
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,8,1,0.01391569403904
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,9,1,0.008906044184985602
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,10,1,0.0022265110462464013
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,11,1,0.010995116277760005
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,12,1,0.035624176739942434
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,13,1,0.055662776156160026
$\mathrm{Gr}_{2}(\mathbb{C}^{6})$,Complex Grassmannian,16,35,15,14,1,3.5624176739942395
$\mathrm{Gr}_{2}(\mathbb{C}^{7})$,Complex Grassmannian,20,48,21,0,1,2.140929619238595
$\mathrm{Gr}_{2}(\mathbb{C}^{7})$,Complex Grassmannian,20,48,21,1,1,0.021409296192385935
$\mathrm{Gr}_{2}(\mathbb{C}^{7})$,Complex Grassmannian,20,48,21,2,1,0.0023788106880428795
$\mathrm{Gr}_{2}(\mathbb{C}^{7})$,Complex Grassmannian,20,48,21,3,1,0.0013380810120241196
$\mathrm{Gr}_{2}(\mathbb{C}^{7})$,Complex Grassmannian,20,48,21,4,1,0.003425487390781748
$\mathrm{Gr}_{2}(\mathbb{C}^{7})$,Complex Grassmannian,20,48,21,5,1,0.059470267201072104
