label,family,n,k,m,real_dimension,ambient_dimension,chi,kappa_theory,replicate,kappa_numeric,kappa_ratio
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,0,0.5031781941538809,1.0063563883077618
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,1,0.5050115304053788,1.0100230608107577
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,2,0.5024076923991828,1.0048153847983656
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,3,0.5032730632732532,1.0065461265465063
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,4,0.49595530476017075,0.9919106095203415
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,5,0.5061907010537571,1.0123814021075142
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,6,0.4955939138723927,0.9911878277447854
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,7,0.5009208047449394,1.0018416094898788
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,8,0.49327551007882237,0.9865510201576447
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,9,0.49346007461158536,0.9869201492231707
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,10,0.5019717946684988,1.0039435893369977
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,11,0.5003376111980383,1.0006752223960766
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,12,0.5076038937269945,1.015207787453989
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,13,0.5070924374024653,1.0141848748049307
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,14,0.48546182158403994,0.9709236431680799
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,15,0.4992876232226912,0.9985752464453824
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,16,0.505706682745628,1.011413365491256
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,17,0.49203284858252566,0.9840656971650513
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,18,0.5034163976867327,1.0068327953734655
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,19,0.5065430590499298,1.0130861180998596
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,20,0.4984766015963626,0.9969532031927252
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,21,0.4957696553206826,0.9915393106413652
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,22,0.4991395037240168,0.9982790074480336
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,23,0.5001818109364452,1.0003636218728904
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,24,0.496262211437419,0.992524422874838
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,25,0.4973309558204878,0.9946619116409756
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,26,0.5037799218742375,1.007559843748475
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,27,0.5054590427811851,1.0109180855623703
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,28,0.49621719255611085,0.9924343851122217
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,29,0.5096633499540719,1.0193266999081438
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,30,0.4977103212707109,0.9954206425414218
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,31,0.5023205259113124,1.0046410518226248
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,32,0.4936827580085409,0.9873655160170818
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,33,0.5074918103886286,1.0149836207772571
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,34,0.5007199555248397,1.0014399110496794
$\mathbb{CP}^2$,Complex projective space,3,1,2.0,4,8,3,0.5,35,0.49809368829061207,0.9961873765812241
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,0,0.40389989402457294,1.0097497350614322
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,1,0.39699932701912016,0.9924983175478004
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,2,0.4001317225257471,1.0003293063143677
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,3,0.40289840170275293,1.0072460042568823
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,4,0.40179338400093023,1.0044834600023256
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,5,0.39806848057063593,0.9951712014265898
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,6,0.3990125636936792,0.997531409234198
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,7,0.39956240057120296,0.9989060014280073
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,8,0.40382851673101455,1.0095712918275364
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,9,0.3951221347527903,0.9878053368819757
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,10,0.4049499135075105,1.0123747837687762
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,11,0.39534289154907054,0.9883572288726763
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,12,0.39721565791132807,0.9930391447783201
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,13,0.4043644140357942,1.0109110350894854
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,14,0.40493637298409046,1.0123409324602262
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,15,0.40263891886475583,1.0065972971618895
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,16,0.4001280938628269,1.0003202346570672
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,17,0.3956219452425066,0.9890548631062664
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,18,0.39689302909008767,0.9922325727252191
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,19,0.3986484835996452,0.996621208999113
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,20,0.39406437511638087,0.9851609377909522
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,21,0.4011084985641439,1.0027712464103595
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,22,0.40422355496104023,1.0105588874026006
$\mathbb{CP}^3$,Complex projective space,4,1,3.0,6,15,4,0.4,23,0.39978297216107767,0.9994574304026941
