label,family,delta,Kc_theory,Kc_numeric
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.06,0.12,0.1203823821929897
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.10105263157894737,0.20210526315789473,0.20274927527240372
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.14210526315789473,0.28421052631578947,0.2851161683518177
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.1831578947368421,0.3663157894736842,0.3674830614312317
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.22421052631578947,0.44842105263157894,0.44984995451064574
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.26526315789473687,0.5305263157894737,0.5322168475900598
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3063157894736842,0.6126315789473684,0.6145837406694737
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3473684210526316,0.6947368421052632,0.6969506337488878
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.38842105263157894,0.7768421052631579,0.7793175268283018
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4294736842105263,0.8589473684210526,0.8616844199077157
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.4705263157894737,0.9410526315789474,0.9440513129871297
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5115789473684211,1.0231578947368423,1.0264182060665439
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5526315789473684,1.1052631578947367,1.1087850991459576
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.5936842105263158,1.1873684210526316,1.191151992225372
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6347368421052633,1.2694736842105265,1.273518885304786
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.6757894736842105,1.351578947368421,1.3558857783841998
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.716842105263158,1.433684210526316,1.438252671463614
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.7578947368421052,1.5157894736842104,1.5206195645430276
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.7989473684210526,1.5978947368421053,1.6029864576224417
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.84,1.68,1.6853533507018559
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.06,0.12,0.11887270038552883
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.10105263157894737,0.20210526315789473,0.20020665328089066
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.14210526315789473,0.28421052631578947,0.2815406061762525
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.1831578947368421,0.3663157894736842,0.3628745590716143
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.22421052631578947,0.44842105263157894,0.44420851196697614
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.26526315789473687,0.5305263157894737,0.525542464862338
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3063157894736842,0.6126315789473684,0.6068764177576998
$\mathrm{Gr}_{2}(\mathbb{C}^{5})$,Complex Grassmannian,0.3473684210526316,0.6947368421052632,0.6882103706530617
