manifold_dimension,chi,delta,seed_index,base_seed,seed,construction_status,conditioned
1,0,0.35,0,136023,136023,ordinary random skew drift,False
1,0,0.35,1,136024,136024,ordinary random skew drift,False
1,0,0.35,2,136025,136025,ordinary random skew drift,False
1,0,0.35,3,136026,136026,ordinary random skew drift,False
1,0,0.35,4,136027,136027,ordinary random skew drift,False
1,0,0.35,5,136028,136028,ordinary random skew drift,False
1,0,0.35,6,136029,136029,ordinary random skew drift,False
1,0,0.35,7,136030,136030,ordinary random skew drift,False
1,0,0.35,8,136031,136031,ordinary random skew drift,False
1,0,0.35,9,136032,136032,ordinary random skew drift,False
1,0,0.35,10,136033,136033,ordinary random skew drift,False
1,0,0.35,11,136034,136034,ordinary random skew drift,False
1,0,0.35,12,136035,136035,ordinary random skew drift,False
1,0,0.35,13,136036,136036,ordinary random skew drift,False
1,0,0.35,14,136037,136037,ordinary random skew drift,False
1,0,0.5,0,151023,151023,ordinary random skew drift,False
1,0,0.5,1,151024,151024,ordinary random skew drift,False
1,0,0.5,2,151025,151025,ordinary random skew drift,False
1,0,0.5,3,151026,151026,ordinary random skew drift,False
1,0,0.5,4,151027,151027,ordinary random skew drift,False
1,0,0.5,5,151028,151028,ordinary random skew drift,False
1,0,0.5,6,151029,151029,ordinary random skew drift,False
1,0,0.5,7,151030,151030,ordinary random skew drift,False
1,0,0.5,8,151031,151031,ordinary random skew drift,False
1,0,0.5,9,151032,151032,ordinary random skew drift,False
1,0,0.5,10,151033,151033,ordinary random skew drift,False
1,0,0.5,11,151034,151034,ordinary random skew drift,False
1,0,0.5,12,151035,151035,ordinary random skew drift,False
1,0,0.5,13,151036,151036,ordinary random skew drift,False
1,0,0.5,14,151037,151037,ordinary random skew drift,False
2,2,0.35,0,146023,146023,axial sign-conditioned skew drift,True
2,2,0.35,1,146024,146024,axial sign-conditioned skew drift,True
2,2,0.35,2,146025,146025,axial sign-conditioned skew drift,True
2,2,0.35,3,146026,146026,axial sign-conditioned skew drift,True
2,2,0.35,4,146027,146027,axial sign-conditioned skew drift,True
2,2,0.35,5,146028,146028,axial sign-conditioned skew drift,True
2,2,0.35,6,146029,146029,axial sign-conditioned skew drift,True
2,2,0.35,7,146030,146030,axial sign-conditioned skew drift,True
2,2,0.35,8,146031,146031,axial sign-conditioned skew drift,True
2,2,0.35,9,146032,146032,axial sign-conditioned skew drift,True
2,2,0.35,10,146033,146033,axial sign-conditioned skew drift,True
2,2,0.35,11,146034,146034,axial sign-conditioned skew drift,True
2,2,0.35,12,146035,146035,axial sign-conditioned skew drift,True
2,2,0.35,13,146036,146036,axial sign-conditioned skew drift,True
2,2,0.35,14,146037,146037,axial sign-conditioned skew drift,True
2,2,0.5,0,161023,161023,axial sign-conditioned skew drift,True
2,2,0.5,1,161024,161024,axial sign-conditioned skew drift,True
2,2,0.5,2,161025,161025,axial sign-conditioned skew drift,True
2,2,0.5,3,161026,161026,axial sign-conditioned skew drift,True
2,2,0.5,4,161027,161027,axial sign-conditioned skew drift,True
2,2,0.5,5,161028,161028,axial sign-conditioned skew drift,True
2,2,0.5,6,161029,161029,axial sign-conditioned skew drift,True
2,2,0.5,7,161030,161030,axial sign-conditioned skew drift,True
2,2,0.5,8,161031,161031,axial sign-conditioned skew drift,True
2,2,0.5,9,161032,161032,axial sign-conditioned skew drift,True
2,2,0.5,10,161033,161033,axial sign-conditioned skew drift,True
2,2,0.5,11,161034,161034,axial sign-conditioned skew drift,True
2,2,0.5,12,161035,161035,axial sign-conditioned skew drift,True
2,2,0.5,13,161036,161036,axial sign-conditioned skew drift,True
2,2,0.5,14,161037,161037,axial sign-conditioned skew drift,True
3,0,0.35,0,156023,156023,ordinary random skew drift,False
3,0,0.35,1,156024,156024,ordinary random skew drift,False
3,0,0.35,2,156025,156025,ordinary random skew drift,False
3,0,0.35,3,156026,156026,ordinary random skew drift,False
3,0,0.35,4,156027,156027,ordinary random skew drift,False
3,0,0.35,5,156028,156028,ordinary random skew drift,False
3,0,0.35,6,156029,156029,ordinary random skew drift,False
3,0,0.35,7,156030,156030,ordinary random skew drift,False
3,0,0.35,8,156031,156031,ordinary random skew drift,False
3,0,0.35,9,156032,156032,ordinary random skew drift,False
3,0,0.35,10,156033,156033,ordinary random skew drift,False
3,0,0.35,11,156034,156034,ordinary random skew drift,False
3,0,0.35,12,156035,156035,ordinary random skew drift,False
3,0,0.35,13,156036,156036,ordinary random skew drift,False
3,0,0.35,14,156037,156037,ordinary random skew drift,False
3,0,0.5,0,171023,171023,ordinary random skew drift,False
3,0,0.5,1,171024,171024,ordinary random skew drift,False
3,0,0.5,2,171025,171025,ordinary random skew drift,False
3,0,0.5,3,171026,171026,ordinary random skew drift,False
3,0,0.5,4,171027,171027,ordinary random skew drift,False
3,0,0.5,5,171028,171028,ordinary random skew drift,False
3,0,0.5,6,171029,171029,ordinary random skew drift,False
3,0,0.5,7,171030,171030,ordinary random skew drift,False
3,0,0.5,8,171031,171031,ordinary random skew drift,False
3,0,0.5,9,171032,171032,ordinary random skew drift,False
3,0,0.5,10,171033,171033,ordinary random skew drift,False
3,0,0.5,11,171034,171034,ordinary random skew drift,False
3,0,0.5,12,171035,171035,ordinary random skew drift,False
3,0,0.5,13,171036,171036,ordinary random skew drift,False
3,0,0.5,14,171037,171037,ordinary random skew drift,False
4,2,0.35,0,166023,166023,axial sign-conditioned skew drift,True
4,2,0.35,1,166024,166024,axial sign-conditioned skew drift,True
4,2,0.35,2,166025,166025,axial sign-conditioned skew drift,True
4,2,0.35,3,166026,166026,axial sign-conditioned skew drift,True
4,2,0.35,4,166027,166027,axial sign-conditioned skew drift,True
4,2,0.35,5,166028,166028,axial sign-conditioned skew drift,True
4,2,0.35,6,166029,166029,axial sign-conditioned skew drift,True
4,2,0.35,7,166030,166030,axial sign-conditioned skew drift,True
4,2,0.35,8,166031,166031,axial sign-conditioned skew drift,True
4,2,0.35,9,166032,166032,axial sign-conditioned skew drift,True
4,2,0.35,10,166033,166033,axial sign-conditioned skew drift,True
4,2,0.35,11,166034,166034,axial sign-conditioned skew drift,True
4,2,0.35,12,166035,166035,axial sign-conditioned skew drift,True
4,2,0.35,13,166036,166036,axial sign-conditioned skew drift,True
4,2,0.35,14,166037,166037,axial sign-conditioned skew drift,True
4,2,0.5,0,181023,181023,axial sign-conditioned skew drift,True
4,2,0.5,1,181024,181024,axial sign-conditioned skew drift,True
4,2,0.5,2,181025,181025,axial sign-conditioned skew drift,True
4,2,0.5,3,181026,181026,axial sign-conditioned skew drift,True
4,2,0.5,4,181027,181027,axial sign-conditioned skew drift,True
4,2,0.5,5,181028,181028,axial sign-conditioned skew drift,True
4,2,0.5,6,181029,181029,axial sign-conditioned skew drift,True
4,2,0.5,7,181030,181030,axial sign-conditioned skew drift,True
4,2,0.5,8,181031,181031,axial sign-conditioned skew drift,True
4,2,0.5,9,181032,181032,axial sign-conditioned skew drift,True
4,2,0.5,10,181033,181033,axial sign-conditioned skew drift,True
4,2,0.5,11,181034,181034,axial sign-conditioned skew drift,True
4,2,0.5,12,181035,181035,axial sign-conditioned skew drift,True
4,2,0.5,13,181036,181036,axial sign-conditioned skew drift,True
4,2,0.5,14,181037,181037,axial sign-conditioned skew drift,True
5,0,0.35,0,176023,176023,ordinary random skew drift,False
5,0,0.35,1,176024,176024,ordinary random skew drift,False
5,0,0.35,2,176025,176025,ordinary random skew drift,False
5,0,0.35,3,176026,176026,ordinary random skew drift,False
5,0,0.35,4,176027,176027,ordinary random skew drift,False
5,0,0.35,5,176028,176028,ordinary random skew drift,False
5,0,0.35,6,176029,176029,ordinary random skew drift,False
5,0,0.35,7,176030,176030,ordinary random skew drift,False
5,0,0.35,8,176031,176031,ordinary random skew drift,False
5,0,0.35,9,176032,176032,ordinary random skew drift,False
5,0,0.35,10,176033,176033,ordinary random skew drift,False
5,0,0.35,11,176034,176034,ordinary random skew drift,False
5,0,0.35,12,176035,176035,ordinary random skew drift,False
5,0,0.35,13,176036,176036,ordinary random skew drift,False
5,0,0.35,14,176037,176037,ordinary random skew drift,False
5,0,0.5,0,191023,191023,ordinary random skew drift,False
5,0,0.5,1,191024,191024,ordinary random skew drift,False
5,0,0.5,2,191025,191025,ordinary random skew drift,False
5,0,0.5,3,191026,191026,ordinary random skew drift,False
5,0,0.5,4,191027,191027,ordinary random skew drift,False
5,0,0.5,5,191028,191028,ordinary random skew drift,False
5,0,0.5,6,191029,191029,ordinary random skew drift,False
5,0,0.5,7,191030,191030,ordinary random skew drift,False
5,0,0.5,8,191031,191031,ordinary random skew drift,False
5,0,0.5,9,191032,191032,ordinary random skew drift,False
