manifold,manifold_dimension,chi,delta,seed_index,seed,cubic_slope_fit,quintic_slope_fit,fit_r2,n_fit
$S^1$,1,0,0.35,0,136023,5.644260245245602,-6.409551496640437,0.6937424609961717,63
$S^1$,1,0,0.35,1,136024,6.02172803575272,-6.990232395402497,0.7758910983276505,68
$S^1$,1,0,0.35,2,136025,6.76716820963922,-8.831611624710865,0.7562478873668536,65
$S^1$,1,0,0.35,3,136026,5.945226459997013,-6.958963580724708,0.71724418473892,67
$S^1$,1,0,0.35,4,136027,5.836155728776294,-6.7219745115361516,0.7581832988112422,62
$S^1$,1,0,0.35,5,136028,5.815045570715195,-6.300791715746397,0.768072936799861,72
$S^1$,1,0,0.35,6,136029,5.679470266460748,-6.1277090907957,0.7734324018338014,62
$S^1$,1,0,0.35,7,136030,6.290146913475028,-7.658065201139712,0.7851526664372508,60
$S^1$,1,0,0.35,8,136031,6.06943305849752,-7.234531686251473,0.7784604902416123,63
$S^1$,1,0,0.35,9,136032,5.882158650027377,-6.740064685166059,0.7530775993100974,65
$S^1$,1,0,0.35,10,136033,6.175528178002358,-7.532766713627001,0.7879700660436222,59
$S^1$,1,0,0.35,11,136034,6.200148479778349,-7.520936562762013,0.7238842245987656,68
$S^1$,1,0,0.35,12,136035,6.130824683840614,-7.1467068811752235,0.7685662202320716,64
$S^1$,1,0,0.35,13,136036,6.295951315676626,-7.6732916482280595,0.7740691269645708,67
$S^1$,1,0,0.35,14,136037,6.458418163860543,-8.036468497036338,0.796452537344609,66
$S^1$,1,0,0.5,0,151023,6.594140649144751,-8.243851920125163,0.8038211766406521,72
$S^1$,1,0,0.5,1,151024,5.969633122818056,-6.944880982854647,0.7378948336301732,70
$S^1$,1,0,0.5,2,151025,6.455272470040872,-8.071136022094565,0.784047579046327,67
$S^1$,1,0,0.5,3,151026,6.233171661087585,-7.5099627873912995,0.7786640684681762,65
$S^1$,1,0,0.5,4,151027,6.060140781748311,-7.151062317684713,0.7519273924949919,69
$S^1$,1,0,0.5,5,151028,6.157442445651858,-7.174920592954626,0.769845286004508,67
$S^1$,1,0,0.5,6,151029,5.548597827978207,-5.968301714080501,0.7760431293077634,62
$S^1$,1,0,0.5,7,151030,6.856779282120329,-9.027199529861615,0.812686006804183,66
$S^1$,1,0,0.5,8,151031,5.839019355415028,-6.529835983586523,0.7443290757904302,69
$S^1$,1,0,0.5,9,151032,5.791049181318563,-6.551072737384631,0.7792219046903,60
$S^1$,1,0,0.5,10,151033,6.251856072113724,-7.425995219926029,0.7870720933782295,70
$S^1$,1,0,0.5,11,151034,6.193723839391687,-7.313050027007311,0.8181330678802726,67
$S^1$,1,0,0.5,12,151035,6.220565037921451,-7.39078999269249,0.7648720637560569,69
$S^1$,1,0,0.5,13,151036,6.128960643329514,-7.298177224997455,0.7555296543390729,65
$S^1$,1,0,0.5,14,151037,6.285270229368793,-7.642007322324599,0.7738405201104981,66
$S^2$,2,2,0.35,0,146023,0.2017392096862597,-0.33546106823243915,0.7831115931639567,9
$S^2$,2,2,0.35,1,146024,0.16531637658731577,-0.2963142131446482,0.9128616340002335,8
$S^2$,2,2,0.35,2,146025,0.15783567549329938,-0.24532444515139398,0.8887865442655113,9
$S^2$,2,2,0.35,3,146026,0.22963226047471835,-0.3643773974374185,0.7463894452276224,11
$S^2$,2,2,0.35,4,146027,0.23264205422382422,-0.49793450128934674,0.8167888311070868,9
$S^2$,2,2,0.35,5,146028,0.20469992786943078,-0.41572449705724357,0.8360175019924639,8
$S^2$,2,2,0.35,6,146029,0.14261296535871607,-0.20136824852608567,0.8957727766527901,9
$S^2$,2,2,0.35,7,146030,0.22851403599265005,-0.48466591105416956,0.8557402000237677,9
$S^2$,2,2,0.35,8,146031,0.18103047058865931,-0.24359957150216155,0.7718306087498681,11
$S^2$,2,2,0.35,9,146032,0.1695160928415731,-0.2813556122491022,0.8669023729789104,9
$S^2$,2,2,0.35,10,146033,0.15730387569637183,-0.2703999540631314,0.9158406753422331,8
$S^2$,2,2,0.35,11,146034,0.16291540761186507,-0.2347997265814696,0.8466075209994792,10
$S^2$,2,2,0.35,12,146035,0.3670664754708909,-0.7677985743057444,0.5996247932223453,13
$S^2$,2,2,0.35,13,146036,0.15317534037548758,-0.2133406228357866,0.8511952537022625,10
$S^2$,2,2,0.35,14,146037,0.3023860378771494,-0.5959156746903241,0.651100763907108,11
$S^2$,2,2,0.5,0,161023,0.14138019512241845,-0.22452200903214042,0.8061565743823437,8
$S^2$,2,2,0.5,1,161024,,,,5
$S^2$,2,2,0.5,2,161025,,,,7
$S^2$,2,2,0.5,3,161026,,,,6
$S^2$,2,2,0.5,4,161027,0.2595642046809259,-0.5064068696415995,0.6555925976914336,11
$S^2$,2,2,0.5,5,161028,,,,7
$S^2$,2,2,0.5,6,161029,,,,7
$S^2$,2,2,0.5,7,161030,,,,7
$S^2$,2,2,0.5,8,161031,,,,5
$S^2$,2,2,0.5,9,161032,,,,5
$S^2$,2,2,0.5,10,161033,,,,6
$S^2$,2,2,0.5,11,161034,,,,6
$S^2$,2,2,0.5,12,161035,0.11417107614584487,-0.15356579995056055,0.8363586750872664,8
$S^2$,2,2,0.5,13,161036,,,,7
$S^2$,2,2,0.5,14,161037,0.2079632331463217,-0.3732017356680618,0.6789891505224628,9
$S^3$,3,0,0.35,0,156023,2.7614048749515865,-2.0245729718184005,0.97746713299139,67
$S^3$,3,0,0.35,1,156024,2.889052369504512,-1.6613187311681392,0.9758535335120656,69
$S^3$,3,0,0.35,2,156025,2.122920285485512,-0.3454347962989146,0.9690350113114025,67
$S^3$,3,0,0.35,3,156026,2.1611977004519867,-0.43160579262391513,0.9703797624817972,67
$S^3$,3,0,0.35,4,156027,2.7133891934309124,-1.3129629635839524,0.972614879032363,68
$S^3$,3,0,0.35,5,156028,2.425395443951606,-0.7386277102648443,0.9687780356500951,69
$S^3$,3,0,0.35,6,156029,2.6134009559192375,-1.0976126525223693,0.96989504537128,69
$S^3$,3,0,0.35,7,156030,2.3440501427335745,-0.5452512553316193,0.9692110255718871,68
$S^3$,3,0,0.35,8,156031,2.287239615024993,-0.5276276004871006,0.9601369644000602,70
$S^3$,3,0,0.35,9,156032,2.4612749092886883,-0.7435500615405127,0.9723808248361389,68
