manifold,manifold_dimension,chi,delta,seed_index,seed,conditioned,direction,K_index,K,K_over_Kref,R,K_ref,N,relax_steps,K_grid_size,construction_status
$S^3$,3,0,0.35,0,821023,False,forward,0,0.03733333333333333,0.08,0.02884369890546461,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,1,0.037990499162403185,0.08140821249086398,0.032389342175439276,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,2,0.038659232855586353,0.08284121326197076,0.03407024104404552,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,3,0.039339738038017075,0.08429943865289374,0.030303079549026283,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,4,0.04003222191917273,0.08578333268394157,0.035735949563579734,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,5,0.04073689535596795,0.08729334719135991,0.015314539858017314,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,6,0.04145397291695912,0.08882994196491241,0.035525113828066224,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,7,0.0421836729476791,0.0903935848878838,0.05208576008755293,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,8,0.042926217637122135,0.09198475207954744,0.049152116514016006,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,9,0.04368183308539892,0.09360392804014055,0.0563395288810339,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,10,0.0444507493725826,0.0952516057983913,0.024451951154743544,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,11,0.04523320062876678,0.09692828706164312,0.04166353054255629,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,12,0.04602942510535661,0.09863448236862132,0.04000257376758869,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,13,0.04683966524761475,0.10037071124488876,0.02662482418220908,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,14,0.047664167768484506,0.10213750236103823,0.030652972777130406,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,15,0.04850318372371221,0.10393539369366903,0.029005267299588067,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,16,0.04935696858829223,0.10576493268919765,0.03984995888025795,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,17,0.05022578233425741,0.1076266764305516,0.026171946444258874,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,18,0.05110988950983887,0.10952119180679759,0.03485541119843752,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,19,0.05200955932001928,0.11144905568575561,0.02319772876445183,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,20,0.05292506570850408,0.11341085508965161,0.03804027791808744,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,21,0.05385668744113549,0.11540718737386177,0.029578624147537386,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,22,0.05480470819077504,0.11743866040880367,0.02391727519490349,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,23,0.0557694166236801,0.1195058927650288,0.04445096101961991,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,24,0.0567511064874009,0.12160951390157337,0.029408936032365638,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,25,0.0577500767002248,0.12375016435762458,0.0447326617206886,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,26,0.05876663144219492,0.12592849594756056,0.03746408610029248,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,27,0.059801080247731155,0.1281451719594239,0.03631698263883009,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,28,0.06085373809988133,0.13040086735688858,0.04775010506106007,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,29,0.06192492552623156,0.13269626898478193,0.03589471443925594,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,30,0.06301496869650482,0.13503207577822463,0.05428482628995732,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,31,0.0641241995218776,0.13740899897545203,0.06644123438532547,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,32,0.06525295575604463,0.13982776233438138,0.046177887964896365,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,33,0.06640158109806285,0.14228910235299183,0.04078567286381656,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,34,0.06757042529700547,0.14479376849358316,0.03779084879389205,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,35,0.06875984425845844,0.1473425234109824,0.043728678295692026,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,36,0.06997020015289122,0.14993614318476692,0.024925374263837743,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,37,0.07120186152593565,0.1525754175555764,0.04521983802516807,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,38,0.07245520341060552,0.15526115016558326,0.04278414555503238,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,39,0.07373060744149183,0.1579941588031968,0.03744599284760208,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,40,0.07502846197096805,0.1607752756520744,0.03415287588243057,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,41,0.07634916218744094,0.1636053475445163,0.03537938967175933,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,42,0.0776931102356829,0.16648523621932051,0.02744653616073088,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,43,0.07906071533928241,0.16941581858417662,0.029557384886272613,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,44,0.08045239392525015,0.1723979869826789,0.03140692468012643,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,45,0.08186856975081823,0.1754326494660391,0.03418121412462468,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,46,0.08330967403247166,0.17852073006958216,0.06645584441164129,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,47,0.08477614557725083,0.18166316909410893,0.04836929019021673,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,48,0.08626843091636567,0.18486092339221216,0.0694893249644655,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,49,0.08778698444116145,0.1881149666596317,0.028894353073916464,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,50,0.08933226854147802,0.19142628973173864,0.05556145703706244,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,51,0.09090475374644458,0.1947959008852384,0.03330741410313988,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,52,0.09250491886775279,0.19822482614518458,0.0300324728049714,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,53,0.09413325114545194,0.20171410959739705,0.0789705809808135,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,54,0.09579024639631022,0.20526481370637906,0.05062304655350764,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,55,0.09747640916478799,0.20887801963883143,0.08461322842655837,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,56,0.09919225287666827,0.21255482759286062,0.07962471756957569,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,57,0.10093829999539158,0.21629635713298198,0.0936555644905502,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,58,0.10271508218114268,0.22010374753102005,0.05959285336931815,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,59,0.10452314045273775,0.2239781581130095,0.0892323416247801,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,60,0.1063630253523612,0.2279207686122026,0.07305758277549458,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,61,0.10823529711320216,0.2319327795282904,0.09274577898983205,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,62,0.11014052583004201,0.2360154124929472,0.05117855037965398,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,63,0.1120792916328444,0.24016991064180945,0.07830295731464049,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,64,0.1140521848634014,0.24439753899300304,0.11116582256074893,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,65,0.11605980625508854,0.2486995848323326,0.1266078833423499,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,66,0.1181027671157844,0.2530773581052523,0.12237002646281572,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,67,0.12018168951401002,0.2575321918157358,0.11190416610095572,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,68,0.12229720646834459,0.262065442432167,0.1106133690956628,0.4666666666666666,1024,3000,181,ordinary random skew drift
