manifold,manifold_dimension,chi,delta,seed_index,seed,conditioned,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference
$S^1$,1,0,0.35,0,136023,False,0.1770042790894603,0.2583128484007727,1.2011866283111055,1.1104741297442382
$S^1$,1,0,0.35,1,136024,False,0.14965260926187715,0.13399900832852094,1.0677201127675744,1.0677201127675744
$S^1$,1,0,0.35,2,136025,False,0.09356056699896648,0.1342517082682999,1.2011866283111055,1.1104741297442382
$S^1$,1,0,0.35,3,136026,False,0.12412058165235343,0.22624590136101397,1.1549401178131236,1.0677201127675744
$S^1$,1,0,0.35,4,136027,False,0.11817237110206605,0.1378926900265884,1.0677201127675744,1.0677201127675744
$S^1$,1,0,0.35,5,136028,False,0.15772348533380248,0.13746681910451447,1.0266121548198242,1.0266121548198242
$S^1$,1,0,0.35,6,136029,False,0.14697225631998817,0.23408201958008423,1.0677201127675744,1.0266121548198242
$S^1$,1,0,0.35,7,136030,False,0.17452473094827317,0.1051980122670703,0.9490833583548156,0.9125429969645716
$S^1$,1,0,0.35,8,136031,False,0.13391844212614495,0.11717514876674422,0.9490833583548156,0.9490833583548156
$S^1$,1,0,0.35,9,136032,False,0.08588268950059286,0.14061982794147715,1.0677201127675744,0.9870868814974053
$S^1$,1,0,0.35,10,136033,False,0.0879011702322395,0.14969185148701347,0.9125429969645716,1.0266121548198242
$S^1$,1,0,0.35,11,136034,False,0.12284064424045238,0.15699624458785846,1.2011866283111055,1.1549401178131236
$S^1$,1,0,0.35,12,136035,False,0.2273064356079894,0.20384097118407996,1.0677201127675744,1.0677201127675744
$S^1$,1,0,0.35,13,136036,False,0.11079990931580513,0.1185001852749445,1.1549401178131236,0.8436285973589559
$S^1$,1,0,0.35,14,136037,False,0.0996277900005279,0.06696295525765972,0.9870868814974053,0.43279668237059493
$S^1$,1,0,0.5,0,151023,False,0.13510891829283941,0.093988779981796,0.9870868814974055,0.8774094645939033
$S^1$,1,0,0.5,1,151024,False,0.13889131737846486,0.10595775242861258,1.1104741297442384,1.1104741297442384
$S^1$,1,0,0.5,2,151025,False,0.11010869536916384,0.12578186514645337,1.1104741297442384,0.9870868814974055
$S^1$,1,0,0.5,3,151026,False,0.1396262811574845,0.1238952716643834,1.0266121548198244,1.0266121548198244
$S^1$,1,0,0.5,4,151027,False,0.12887372979010575,0.14452821310193711,0.9870868814974055,0.9870868814974055
$S^1$,1,0,0.5,5,151028,False,0.11441246649330039,0.15530492834451426,1.1104741297442384,0.9870868814974055
$S^1$,1,0,0.5,6,151029,False,0.11054083696199205,0.14626506173088438,0.8436285973589561,0.9870868814974055
$S^1$,1,0,0.5,7,151030,False,0.07427149951866091,0.11979109138107705,0.6409057097491851,0.8436285973589561
$S^1$,1,0,0.5,8,151031,False,0.16499875102148917,0.16650113741804096,1.0266121548198244,1.0266121548198244
$S^1$,1,0,0.5,9,151032,False,0.0817418034310925,0.1403541486658123,1.1104741297442384,0.9870868814974055
$S^1$,1,0,0.5,10,151033,False,0.16494903069933337,0.10559076822738248,0.9490833583548159,1.0677201127675746
$S^1$,1,0,0.5,11,151034,False,0.09834294377217084,0.10067542852860814,0.8111483167226201,0.749891149198474
$S^1$,1,0,0.5,12,151035,False,0.1594719639660148,0.12188614301536238,1.0266121548198244,1.0266121548198244
$S^1$,1,0,0.5,13,151036,False,0.12454760596546205,0.1165114766134836,1.1549401178131238,1.1549401178131238
$S^1$,1,0,0.5,14,151037,False,0.08677653803429292,0.08290647076254976,1.0677201127675746,1.0677201127675746
$S^2$,2,2,0.35,0,146023,True,0.2072157497891624,0.8778725843503603,0.11390667713934903,0.08653504632928354
$S^2$,2,2,0.35,1,146024,True,0.15926624681700424,0.8630137457259625,0.101250253119456,0.08
$S^2$,2,2,0.35,2,146025,True,0.15465030700473348,0.8541671495460181,0.10530455067271668,0.08
$S^2$,2,2,0.35,3,146026,True,0.20086531252653794,0.8863866900505141,0.12321149479335385,0.08
$S^2$,2,2,0.35,4,146027,True,0.16426055020288155,0.8780854460051202,0.11390667713934903,0.08320338758934447
$S^2$,2,2,0.35,5,146028,True,0.17641074778312804,0.8803186020320143,0.11390667713934903,0.08
$S^2$,2,2,0.35,6,146029,True,0.15291254101414187,0.8598395195698486,0.10530455067271668,0.08
$S^2$,2,2,0.35,7,146030,True,0.16567633468362025,0.8719467362941228,0.10952119180679762,0.08
$S^2$,2,2,0.35,8,146031,True,0.17465116481462917,0.8712148727533134,0.11846776758799472,0.08320338758934447
$S^2$,2,2,0.35,9,146032,True,0.17114277467599098,0.8571548104153929,0.10530455067271668,0.08320338758934447
