case,case_index,p,q,dimension,chi,conditioned,role,delta,seed_index,seed,direction,K_index,K,K_over_Kref,R,N,relax_steps,K_grid_size
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,0,0.027999999999999997,0.08,0.09597849820666282,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,1,0.02950480352851281,0.08429943865289374,0.08040440309285618,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,2,0.03109047968771934,0.08882994196491241,0.0772251400084648,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,3,0.03276137481404919,0.09360392804014056,0.04913286437113474,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,4,0.03452206882901746,0.09863448236862132,0.08625782870333654,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,5,0.03637738779278416,0.10393539369366904,0.09546481785105809,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,6,0.03833241713237916,0.1095211918067976,0.07662590209241793,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,7,0.04039251558085162,0.11540718737386178,0.07879355425695884,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,8,0.04256332986555068,0.12160951390157337,0.06431781771008269,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,9,0.04485081018579837,0.1281451719594239,0.04375283806889931,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,10,0.047261226522378616,0.13503207577822463,0.08694193776034355,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,11,0.04980118582354714,0.14228910235299183,0.0876589931437952,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,12,0.05247765011466842,0.14993614318476692,0.08854086897964442,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,13,0.055297955581118885,0.15799415880319684,0.08699820194973854,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,14,0.05826983267676218,0.16648523621932054,0.08489181064182871,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,15,0.061401427313113675,0.1754326494660391,0.08626278798936068,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,16,0.06470132318727426,0.18486092339221216,0.059917967050406314,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,17,0.06817856530983343,0.1947959008852384,0.04458070101543451,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,18,0.07184268479723267,0.20526481370637908,0.06071676174624546,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,19,0.07570372499654372,0.21629635713298206,0.07110364634262958,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,20,0.07977226901427091,0.22792076861220262,0.08720615559743154,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,21,0.0840594687246333,0.24016991064180943,0.07830165022048978,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,22,0.08857707533683831,0.25307735810525234,0.09198259166048017,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,23,0.09333747160513185,0.2666784903003767,0.07102186315524686,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,24,0.09835370576991276,0.2810105879140365,0.10302889698743,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,25,0.103639527322944,0.2961129352084114,0.1257773586992549,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,26,0.10920942469469275,0.31202692769912216,0.15040870721727934,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,27,0.11507866496710088,0.3287961856202883,0.1496722927328904,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,28,0.12126333572063788,0.34646667348753685,0.16967666057459696,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,29,0.12778038913033962,0.36508682608668463,0.14903923896969504,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,30,0.1346476884316994,0.3847076812334269,0.1867236594280043,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,31,0.1418840568837749,0.4053830196679283,0.21478043229087462,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,32,0.1495093293637183,0.4271695124677666,0.22221513833404408,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,33,0.15754440673415068,0.4501268763832877,0.23234546129060168,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,34,0.1660113131324009,0.47431803752114543,0.2188842461858345,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,35,0.1749332563386395,0.4998093038246843,0.27199556844739586,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,36,0.18433469138837588,0.5266705468239311,0.32005476317978554,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,37,0.19424138760368112,0.5549753931533746,0.3162953172624982,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,38,0.2046804992268684,0.5848014263624812,0.30555414134815007,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,39,0.2156806398502382,0.6162303995721091,0.33583654878762315,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,40,0.22727196084590023,0.649348459559715,0.3469314889311725,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,41,0.2394862340106479,0.6842463828875655,0.409438698120381,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,42,0.25235693865241454,0.7210198247211844,0.384127403581945,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,43,0.26591935335701605,0.7597695810200459,0.39176529061621546,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,44,0.28021065268671175,0.8006018648191765,0.42384604294598316,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,45,0.29527000907563467,0.8436285973589562,0.427064583959932,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,46,0.3111387002013854,0.8889677148611012,0.4526680630761729,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,47,0.3278602221270973,0.9367434917917067,0.4985581911276892,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,48,0.3454804085240918,0.9870868814974052,0.5529996987404244,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,49,0.3640475563019168,1.0401358751483338,0.5683156680943995,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,50,0.3836125579901163,1.0960358799717609,0.590892099774563,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,51,0.40422904123459313,1.1549401178131233,0.6215945186338313,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,52,0.4259535157909203,1.2170100451169152,0.6306604956419132,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,53,0.44884552841751363,1.2824157954786104,0.6442808882761311,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,54,0.4729678260932233,1.3513366459806382,0.665599678796457,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,55,0.49838652800672717,1.4239615085906492,0.6786487134100881,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,56,0.5251713067891476,1.5004894479689932,0.695843279441263,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,57,0.5533955794866471,1.581130227104706,0.7103275823438323,256,850,61
