case,case_index,p,q,dimension,chi,conditioned,role,delta,seed_index,seed,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,0.06250720918920849,0.07941674487193692,0.649348459559715,0.2666784903003767
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,0.054299324187623454,0.0943988761203377,0.5549753931533746,0.5549753931533746
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,2,157031,0.06324558804360086,0.10077411568933374,0.6162303995721091,0.34646667348753685
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,3,157032,0.09046144657263011,0.15022439124925427,0.4998093038246843,0.4998093038246843
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,4,157033,0.0592147102309207,0.1589432098125376,0.5266705468239311,0.4998093038246843
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,5,157034,0.07099996137138603,0.07526211472801163,0.4998093038246843,0.18486092339221216
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,6,157035,0.04736928472952506,0.08937451566229022,0.8436285973589562,0.31202692769912216
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,7,157036,0.09242500703735793,0.09448946239786976,0.4998093038246843,0.4271695124677666
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,8,157037,0.059450684673712256,0.077922184351131,0.2810105879140365,0.3287961856202883
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,9,157038,0.054477671037235276,0.0939354141027896,0.6842463828875655,0.3847076812334269
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,10,157039,0.05587696229304684,0.07807995072507792,0.7597695810200459,0.4053830196679283
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,11,157040,0.04853924028527745,0.1053295604422727,0.3847076812334269,0.24016991064180943
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,12,157041,0.07803778515568666,0.14723766273912237,0.4053830196679283,0.36508682608668463
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,13,157042,0.0783282263537135,0.1263976526186725,0.6162303995721091,0.5848014263624812
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,14,157043,0.051028564112287955,0.08661845953936849,1.2824157954786104,0.31202692769912216
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,0,172029,0.05507746086275142,0.06651569678305366,0.3464666734875369,0.42716951246776674
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,1,172030,0.0898968763500293,0.08870398714202521,0.6162303995721092,0.38470768123342697
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,2,172031,0.05017434885160432,0.07955272474992706,0.3464666734875369,0.29611293520841153
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,3,172032,0.05927555938497958,0.06414747763580123,0.6162303995721092,0.4998093038246844
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,4,172033,0.07995359726631007,0.07507518268724818,0.5266705468239313,0.32879618562028834
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,5,172034,0.048531679474324324,0.055602191568958306,0.36508682608668475,0.22792076861220267
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,6,172035,0.06203881168261427,0.056925967263285596,0.3464666734875369,0.32879618562028834
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,7,172036,0.07197523473696107,0.11886869626577606,0.5266705468239313,0.42716951246776674
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,8,172037,0.05313241291086489,0.07199770314261925,0.28101058791403655,0.2530773581052524
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,9,172038,0.08973291076773268,0.0695796099252167,0.47431803752114554,0.2052648137063791
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,10,172039,0.06392983839183645,0.12482354144151694,0.32879618562028834,0.4053830196679284
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,11,172040,0.08595509379404317,0.07736722451925704,0.36508682608668475,0.4501268763832878
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,12,172041,0.05799278647496989,0.06833390071442191,0.42716951246776674,0.3464666734875369
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,13,172042,0.06946897595673479,0.08488780974129934,0.8889677148611014,0.5549753931533749
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.5,14,172043,0.06298397359362296,0.07818206546306042,0.5549753931533749,0.4053830196679284
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,0,167029,0.07015867084294453,0.807170195843093,0.1281451719594239,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,1,167030,0.11682031694414052,0.8462493322225577,0.14228910235299183,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,2,167031,0.09539117708642414,0.874558404723252,0.15799415880319684,0.09360392804014056
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,3,167032,0.07948931891048022,0.8366472377288328,0.13503207577822463,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,4,167033,0.11833771637823176,0.8538414908241079,0.15799415880319684,0.08429943865289374
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,5,167034,0.12003310319223864,0.8393661914997379,0.13503207577822463,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,6,167035,0.09390918440573781,0.8654188576391169,0.1754326494660391,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,7,167036,0.08068907980857837,0.8496530905855508,0.13503207577822463,0.08429943865289374
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,8,167037,0.10067590521660397,0.870758945722022,0.16648523621932054,0.08429943865289374
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,9,167038,0.12084115237058113,0.8547209683241563,0.16648523621932054,0.08882994196491241
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,10,167039,0.12323897117055438,0.870162982802288,0.1754326494660391,0.08882994196491241
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,11,167040,0.11499694004666705,0.8415045023623567,0.14993614318476692,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,12,167041,0.09817535030021701,0.8559445987282701,0.16648523621932054,0.08429943865289374
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,13,167042,0.09607678011338266,0.8419779079955625,0.14228910235299183,0.08429943865289374
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.35,14,167043,0.1032762315585753,0.8534373760714792,0.15799415880319684,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,0,182029,0.12017384580092227,0.8307871429935341,0.12814517195942396,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,1,182030,0.15432708001763196,0.858650182266728,0.13503207577822474,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,2,182031,0.12344719323370396,0.870853299919396,0.14228910235299186,0.08429943865289377
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,3,182032,0.10577653070567633,0.8614820795683902,0.13503207577822474,0.08882994196491242
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,4,182033,0.1353525064637714,0.851862012624107,0.12814517195942396,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,5,182034,0.140746092098594,0.8481857087480502,0.13503207577822474,0.08429943865289377
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,6,182035,0.1541124926001362,0.8623756218706818,0.15799415880319687,0.08882994196491242
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,7,182036,0.10453154774450868,0.8309603535209583,0.11540718737386181,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,8,182037,0.11722965920895656,0.847187814009054,0.13503207577822474,0.08429943865289377
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,9,182038,0.1268867500228803,0.8689470567332619,0.15799415880319687,0.08429943865289377
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,10,182039,0.1395401274191888,0.8566432992817408,0.14228910235299186,0.08
